Date,EW_Nifty (buy-hold),EMA pillar (any of 4 MAs),Drawdown pillar (DD<=-10%),Zone pillar (any N-day low),Aggregate ANY,Aggregate MAJORITY (>=2),Aggregate ALL (3 of 3)
2019-09-04,106560.90273499495,79471.3486640571,87500.77387222377,40081.94433963376,83981.7946130861,81066.29833024899,43151.26805966329
2019-09-05,107083.69831161614,80229.9681249786,88538.32836657978,40736.380981473754,84824.63416272734,81978.19489945404,43855.814450301
2019-09-06,108181.98220109465,81334.79061984565,89681.22763854008,41238.46562736541,85934.02639201802,83103.69837723434,44243.04304520133
2019-09-09,108701.50409089743,81964.11977313302,90333.80619522267,41238.46562736541,86517.53041186441,83770.20685226566,44243.04304520133
2019-09-11,108987.80038926128,82425.20580586555,91108.5610070629,41114.75023048332,87102.58208071101,84409.99035981965,44110.31391606573
2019-09-12,108380.8510339446,82132.03643447257,90721.26291607691,40516.11454442512,86713.46497494883,84157.7340975967,43468.062464084185
2019-09-13,109359.27896553128,82742.69756818879,91582.16043061322,40526.71530002097,87520.02371969433,84763.7720245777,43479.43557603207
2019-09-16,108953.89065901483,82525.88821665774,91150.48820583505,40526.71530002097,87126.37525778805,84526.25159306337,43479.43557603207
2019-09-17,107254.15257120495,80868.95612596707,89040.23552115551,40405.135154120915,85339.42235967773,82567.64360708246,43348.997269303974
2019-09-18,107862.97956982811,81164.9233607908,89344.53479024788,40359.67459968181,85725.11017686964,82754.6461486885,43300.22452191123
2019-09-19,106609.33259396294,80119.06731116088,88243.37685983346,39585.13607140919,84652.52648324856,81700.00583483474,42469.254190566215
2019-09-20,112555.03062153242,84628.3847717278,93882.97098024645,41690.87597352345,89583.7847798621,86773.71419336757,44863.41245866258
2019-09-23,115160.89810849112,85787.47612149752,95941.96834827766,40498.80753639727,91255.68701480135,88179.89740574005,44728.82222128659
2019-09-24,114730.00232621857,85524.5020445518,95373.27027255142,40725.60227271716,90896.63238617344,87676.64191214905,44978.92365951636
2019-09-25,113743.71262547858,84197.17448807054,93567.79418820786,40603.42546589901,89469.06739833711,85919.50902741155,44843.98688853781
2019-09-26,115375.62408704955,85486.16673487486,95194.65077923072,40515.95792180139,90807.75618732203,87523.49159528984,44747.3843641035
2019-09-27,114622.10162295976,84496.02523856472,94001.19281140616,40308.598550537135,89697.54995587206,86486.0571385947,44518.368688221686
2019-09-30,114307.63034687798,84438.06191285489,93365.71668707364,39842.972292576334,89330.04608484828,86204.89152975417,44004.11311575798
2019-10-01,112867.78261617945,82578.30329483528,91478.1445644477,38973.05482514258,87539.2886937373,84254.78362529693,43043.34276064416
2019-10-03,112736.89086051745,82171.15313967748,90936.75941241722,38995.041516846075,87117.84928707813,83712.40144975595,43067.62570975894
2019-10-04,111258.36360896597,81491.07790395638,89892.18233196194,38317.40090695631,86299.20906444808,82809.31917021904,42319.213321484975
2019-10-07,110754.51878607055,80993.24169217826,89360.7718426686,37850.24526684106,85859.82875806435,82213.54898067155,41803.268640467126
2019-10-09,112576.22341368406,82599.430586445,91101.09081035771,39114.9386784774,87481.59292840309,83911.24526837985,43200.04475279468
2019-10-10,111878.23589911721,81970.75825072773,90470.71553197512,38997.59386244197,86925.95143646833,83208.08737962827,43070.4446185363
2019-10-11,112885.34935862971,82674.32185662686,91262.03981895074,38741.14459625697,87762.61926792834,83818.67613405145,42787.21217205136
