Date,EW_Nifty (buy-hold),S1 (R<0),S1_inv (R>0),S2a (R<0 & PS<0),S2b (R<0 & PS<-0.001),S3 (R<0 & E<=L<=F),S4a (S1 + cross-up 50),S4b (S4a + P<0)
2022-11-14,296976.468203848,140362.9802318198,172569.7764177408,169710.09482965578,81146.74558771566,82772.28790215803,35250.78681709733,33882.50097089344
2022-11-15,298600.0769698547,140445.2397694385,173419.08568229602,169340.50861649547,80903.30535095252,82523.97103845155,35250.78681709733,33882.50097089344
2022-11-16,295388.1681346015,139924.21925741024,172808.7927938886,168894.60547918518,80171.64878783438,81777.65783452333,35250.78681709733,33882.50097089344
2022-11-17,296000.75152828754,140273.87569059135,172063.43421962665,168648.9810039971,80400.35056085269,82010.94099163458,35250.78681709733,33882.50097089344
2022-11-18,295163.5337986911,139086.25808489928,171176.69284155095,167939.59932699267,80280.8637374237,81889.06059239309,35250.78681709733,33882.50097089344
2022-11-21,293513.4076313363,139712.9487125697,170176.78227661518,168144.4348871977,80913.90636481927,82534.78441322684,35145.03445664604,33780.853467980756
2022-11-22,295492.3824062689,140687.63079308032,171147.97474937225,168285.3994749788,81262.68638403968,82890.55123981174,34544.27204768149,33203.410104499715
2022-11-23,292983.8460949046,140632.04054995574,171420.24155630963,168998.5834637434,81251.46426959088,82879.10432248561,34934.122987354065,33578.12868625782
2022-11-24,295818.8860507272,143160.04576883026,173046.64730015214,173448.02601834142,82987.33112416534,84649.74429092818,34829.320618392005,33477.39430019905
2022-11-25,295596.40734046686,143907.52925063248,173308.88005893206,175714.35466113797,82987.33112416534,84649.74429092818,35122.44244598572,33759.13838323372
2022-11-28,295593.34464269737,145983.42739087495,173272.1162153284,178360.8647351103,82987.33112416534,84649.74429092818,35122.44244598572,33759.13838323372
2022-11-29,296205.9195925951,146037.34646087312,173860.2601114242,177445.8513946616,82987.33112416534,84649.74429092818,35122.44244598572,33759.13838323372
2022-11-30,299016.42953750415,148724.6097320642,175475.81954889733,179071.60901545908,82987.33112416534,84649.74429092818,35122.44244598572,33759.13838323372
2022-12-01,299667.09352523205,148062.9499247652,176134.7951616715,180211.59731797117,82987.33112416534,84649.74429092818,35122.44244598572,33759.13838323372
2022-12-02,299023.53303066926,146958.26927239104,175465.57765239343,179441.69559409207,82738.36913079285,84649.74429092818,35122.44244598572,33759.13838323372
2022-12-05,299477.632008873,147016.42100976332,175950.08802353474,178966.7538053562,82750.09104747132,84649.74429092818,35122.44244598572,33759.13838323372
2022-12-06,301183.10688935523,146858.87860795288,175408.9239237521,177646.71354087166,83288.56536398159,84649.74429092818,35122.44244598572,33759.13838323372
2022-12-07,299194.5762747445,146760.57621518348,174221.57983340567,176639.49665926886,83038.69966788964,84649.74429092818,35122.44244598572,33759.13838323372
2022-12-08,299969.58662177733,146589.13735031194,174600.77482422412,176107.88028726974,83072.32643941113,84649.74429092818,35122.44244598572,33759.13838323372
2022-12-09,298091.45169598004,145663.85078121244,173785.4028485567,173533.15430748556,82385.77505787981,84395.7950580554,35122.44244598572,33759.13838323372
2022-12-12,298495.3871675819,145032.8874849773,173996.84472781367,173552.05212626315,82394.77363808858,84889.1261601173,35122.44244598572,33759.13838323372
2022-12-13,300434.4895812,145926.94228603222,174799.13793866584,174821.66287772346,82750.40874920087,84933.4042451844,35017.075118647765,33657.86096808402
2022-12-14,301205.0243773817,145911.76190161126,175688.12528684575,175694.45503000653,83098.8412558315,84933.4042451844,35114.19510655611,33751.21117049714
2022-12-15,298589.8539826327,144431.62178585003,173927.51543998878,173320.1294982505,82106.573257335,84678.60403244884,35114.19510655611,33751.21117049714
2022-12-16,294817.7000390032,142215.3766233953,172003.30635393463,170656.6006501859,80745.00225314824,83078.37106098613,35114.19510655611,33751.21117049714
