Date,S1,S1_inverted,S3,EW_Nifty
2018-11-15,93199.35707826923,93308.32567936894,100000.0,103349.02510395396
2018-11-16,94028.72297073372,93241.56986382333,100000.0,103848.43957012122
2018-11-19,94217.90529334528,93972.71603341526,100000.0,104254.13972814672
2018-11-20,93493.01875980356,91757.876163029,100000.0,102962.72771695738
2018-11-21,93563.2168560871,91463.6829121558,100000.0,102881.42662219478
2018-11-22,92765.44008701263,90522.31943702814,100000.0,101999.6729491315
2018-11-26,93429.67876333113,91229.46114837944,100000.0,102770.2243265249
2018-11-27,93658.10868391016,90983.40859888263,100000.0,103003.8381207633
2018-11-28,93413.84884775584,90731.88052068146,100000.0,102932.26459397971
2018-11-29,94593.77858803139,92119.7308525808,100000.0,104363.79524428784
2018-11-30,94733.95365277573,92513.20833874901,100000.0,104623.92264732959
2018-12-03,94668.05786075722,93339.81666710746,100000.0,104796.29038170159
2018-12-04,94638.62578283493,93106.0204605008,100000.0,104709.18480887513
2018-12-05,93217.84050329296,92191.66485561425,100000.0,103408.87481027903
2018-12-06,91537.29245543858,90096.04692436132,100000.0,101331.29969900403
2018-12-07,92119.64202118419,90578.47554723176,100000.0,102055.7349328477
2018-12-10,90496.18382591681,89032.34799625845,100000.0,100137.51224661397
2018-12-11,91546.03863867765,90185.76165811344,100000.0,101415.16986177162
2018-12-12,93699.78298446175,91464.54452842374,100000.0,103407.3286137532
2018-12-13,94022.07258521288,92232.06170468403,100000.0,103961.25131036436
2018-12-14,94505.37552334684,92239.36072681058,100000.0,104264.83155166
2018-12-17,95135.17558373719,92595.05025655194,100000.0,104836.87501554217
2018-12-18,95618.31544011523,92709.11775152858,100000.0,105213.83178745687
2018-12-19,96270.23899306776,93642.2775014764,100000.0,105999.84550637081
2018-12-20,96184.93980708109,93242.50683674496,100000.0,105838.71688436586
2018-12-21,95030.43140453512,91647.61148510524,100000.0,104398.6556402831
2018-12-24,94031.18898940331,91069.79158677893,100000.0,103484.23776284454
2018-12-26,94308.64332916809,91459.06293924912,100000.0,103863.39312402053
2018-12-27,94660.981348528,91710.7363098884,100000.0,104279.47380440203
2018-12-28,95406.72388428217,92510.70886650571,100000.0,105131.52137243556
2018-12-31,95582.57949825008,92601.04036911018,100000.0,105319.1663114119
2019-01-01,95577.1516103026,92593.3055603396,100000.0,105245.1259504666
2019-01-02,93809.73839079616,91887.29707875062,100000.0,103899.438333713
2019-01-03,92454.574249725,91353.65858328325,100000.0,102853.21903057084
2019-01-04,92930.19266828078,91547.40378939522,100000.0,103131.08229297514
2019-01-07,93297.37116128462,91529.6222695937,100000.0,103370.3012919434
2019-01-08,93711.69278337252,91741.962415659,100000.0,103759.71812253035
2019-01-09,93829.93804789301,91887.31951502875,100000.0,103956.01336875859
2019-01-10,93658.04298863419,91884.06840598598,100000.0,103914.17377643786
2019-01-11,93327.42243882835,91704.60898976178,100000.0,103655.40080918164
2019-01-14,92717.54532084201,91073.31136177463,100000.0,102944.98380831949
2019-01-15,93813.90461176755,92131.21969871495,100000.0,104227.00968854832
2019-01-16,93847.69329255578,92093.94435880025,100000.0,104161.3073036414
2019-01-17,93564.51361763537,92341.65468325694,100000.0,104193.770858564
2019-01-18,92956.53290753065,92254.1895841932,100000.0,103910.94576598762
