Date,strategy,ew_nifty
2024-11-19,190677.10068312666,382225.31213384506
2024-11-21,186750.9533852197,365401.9404712653
2024-11-22,190971.03252954388,374347.9046898074
2024-11-25,193546.35742235216,378409.45907193306
2024-11-26,192614.53012668062,374610.62389247015
2024-11-27,193847.6253587417,381883.73561046907
2024-11-28,191132.19172014718,377329.2398707367
2024-11-29,192708.93381804271,380603.65529428906
2024-12-02,193559.14998020505,383000.44049902906
2024-12-03,195265.11348025224,386617.13003672013
2024-12-04,194574.0843494756,385848.32378955773
2024-12-05,195775.26524810985,389853.31372950826
2024-12-06,195967.2688798204,389548.99270535994
2024-12-09,194885.47248960217,388192.42981160956
2024-12-10,194163.13798414188,387079.6256645572
2024-12-11,194984.85658782296,388915.1088201951
2024-12-12,193651.11877779255,388469.4907329729
2024-12-13,194708.11966770166,390955.65473640757
2024-12-16,193957.10994504686,389264.1360871252
2024-12-17,190941.820392947,384450.54205479746
2024-12-18,189797.33840496186,383627.8749308039
2024-12-19,188947.80885698667,380746.4170335974
2024-12-20,186206.82859592454,373197.57424921065
2024-12-23,186961.00680509568,375099.1161981203
2024-12-24,186691.29238075137,375583.46122319385
2024-12-26,187384.481644332,377323.0235534112
2024-12-27,187530.65200975968,378402.5350888204
2024-12-30,186880.76189618272,380342.8602197345
2024-12-31,187211.8531099197,379904.5621599783
2025-01-01,187747.18442627892,381057.4604066856
2025-01-02,192031.4467934431,389668.4902514547
2025-01-03,192080.0416904778,387388.38583142124
2025-01-06,188095.11881044638,379438.2513648285
2025-01-07,189292.84467384042,380584.5956696075
2025-01-08,189636.54689522288,378736.6652172187
2025-01-09,188634.01203960538,375930.64329542074
2025-01-10,186628.02201722882,372261.3172079505
2025-01-13,183067.83761134453,361620.5079569823
2025-01-14,185356.65231079079,365651.0891788988
2025-01-15,185641.3432072624,367325.3343045376
2025-01-16,186722.14262431805,368164.8130334169
2025-01-17,187615.6090880204,367632.9284846332
2025-01-20,188431.6775879054,369476.98707007046
