ticker,bars,bh_cagr,S1,S2a,S2b,S3,S4a,S4b,best,best_name,alpha,years
MARUTI.NS,4056,0.14898288984482377,0.17142657899953154,0.16988662508288788,0.17643197056395252,0.17742211869821095,0.16629751377987242,0.16005874987762156,0.17742211869821095,S3,0.028439228853387177,16.095238095238095
APOLLOHOSP.NS,4056,0.2364442704041514,0.24379533140861398,0.248465861531204,0.25072457180646157,0.2566778727019972,0.2525760209555335,0.25051810624646975,0.2566778727019972,S3,0.02023360229784582,16.095238095238095
AXISBANK.NS,4056,0.12290673842888622,0.13523872895995773,0.13589276872448103,0.13990167709111626,0.1402483899166869,0.1299811420614764,0.12977877031576615,0.1402483899166869,S3,0.017341651487800674,16.095238095238095
BPCL.NS,4056,0.1691457657451787,0.18198405012796484,0.18189216816698442,0.185019935355349,0.18547735813506616,0.17173010871485497,0.17035713912047057,0.18547735813506616,S3,0.01633159238988746,16.095238095238095
WIPRO.NS,4056,0.07665051623110197,0.07448781713402078,0.07527466226490469,0.07960451849186177,0.07935238020723566,0.06954656484185229,0.06956925075612098,0.07960451849186177,S2b,0.0029540022607598,16.095238095238095
DRREDDY.NS,4056,0.11857069191424552,0.1115158340198285,0.11210774809217783,0.12039510661860785,0.11766118478708829,0.1100484975426845,0.11077286084964869,0.12039510661860785,S2b,0.0018244147043623288,16.095238095238095
BAJAJFINSV.NS,4056,0.281054864806209,0.25931863589066056,0.26336792608434606,0.2804881487430966,0.2815529881434534,0.273053024587673,0.2804109070297607,0.2815529881434534,S3,0.000498123337244416,16.095238095238095
SUNPHARMA.NS,4056,0.17146160985053283,0.16794600329550957,0.16826974765613278,0.170499973499249,0.1716496260299733,0.16623768578578127,0.16868907978185887,0.1716496260299733,S3,0.00018801617944047555,16.095238095238095
ULTRACEMCO.NS,4056,0.18021381699898287,0.16697066734899016,0.16894227611860343,0.17804476758535998,0.17903653907832595,0.16961980005297403,0.16938920393914927,0.17903653907832595,S3,-0.0011772779206569162,16.095238095238095
INFY.NS,4056,0.11276316363325711,0.10518658429439881,0.10673119586517836,0.10880761449936115,0.10754761925166544,0.10373043030775207,0.10254982399636155,0.10880761449936115,S2b,-0.003955549133895966,16.095238095238095
